rom_wrong_name;rom_official_name
Ghostbusters (World);Ghostbusters (World) (v1.1)
Michael Jackson's Moonwalker (World);Michael Jackson's Moonwalker (World) (Rev A)
QuackShot Starring Donald Duck (World);QuackShot Starring Donald Duck (World) (v1.1)
Revenge of Shinobi, The (USA, Europe);Revenge of Shinobi, The (USA, Europe) (Rev B)
Sonic The Hedgehog (USA, Europe);Sonic the Hedgehog (USA, Europe)
Sonic The Hedgehog 2 (World);Sonic the Hedgehog 2 (World) (Rev A)
Sonic The Hedgehog 3 (USA);Sonic the Hedgehog 3 (USA)
Streets of Rage (World);Streets of Rage (World) (Rev A)
ToeJam & Earl (World);ToeJam & Earl (World) (Rev A)
Contra Hard Corps;Contra - Hard Corps (USA, Korea)
ECCO the Dolphin;Ecco the Dolphin (USA, Europe)
Gunstar Heroes;Gunstar Heroes (USA)
Revenge of Shinobi;Revenge of Shinobi, The (USA, Europe) (Rev B)
Shinobi III;Shinobi III - Return of the Ninja Master (USA)
Sonic The Hedgehog I;Sonic the Hedgehog (USA, Europe)
Sonic The Hedgehog II;Sonic the Hedgehog 2 (World) (Rev A)
Sonic The Hedgehog III;Sonic the Hedgehog 3 (USA)
Streets Of Rage I;Streets of Rage (World) (Rev A)
Streets Of Rage II;Streets of Rage 2 (USA)
Streets of Rage III;Streets of Rage 3 (USA)
AladdinMD;Aladdin (USA)
Alien Soldier;Alien Soldier (Europe)
Castle of Illusion;Castle of Illusion Starring Mickey Mouse (USA, Europe)
Castlevania Bloodlines;Castlevania - Bloodlines (USA)
Comix Zone;Comix Zone (USA)
Earthworm Jim II;Earthworm Jim 2 (USA)
Earthworm Jim;Earthworm Jim (USA)
Jungle Strike;Jungle Strike (USA, Europe)
NHL 94;NHL '94 (USA, Europe)
Rocket Knight Adventures;Rocket Knight Adventures (USA)
Xenocrisis; ?????
Alien Soldier (USA Virtual Console, Custom based on Sega brand cover from 1995);Alien Soldier (Europe)